SYS,ASY,COMP,"Description ",CompCode9Digit,Obsolete,"Comments "
2,36,41,Link,002-036-041,,
2,36,42,"Pin - Link",002-036-042,,
2,36,43,"Plate - Trunnion",002-036-043,,
2,36,44,"Plate - Cylinder Mounting",002-036-044,,
2,36,46,"Cylinder Assembly - Cab Latch",002-036-046,,
2,36,47,"Mounting Bracket - Cab",002-036-047,,
2,36,48,"Shim - Mounting, Cab Tilt Mechanism",002-036-048,,"updated by JP"
2,36,49,"Mounting - Cab Latch, Rear",002-036-049,,
2,36,50,"Support - Cab Frame",002-036-050,,
2,36,51,"Hydraulic Hook Assembly - Lower",002-036-051,,
2,36,52,"Latch Pin Assembly",002-036-052,,
2,36,53,"Actuator Assembly  - Cab Tilt",002-036-053,,"updated by JP"
2,36,54,"Hardware, Mounting - Lower Hydraulic Hook Assembly",002-036-054,,
2,36,55,"Pin - Cab Hinge",002-036-055,,
2,36,56,"Retainer - Cab Tilting Mechanism",002-036-056,,
2,36,57,Sleeve,002-036-057,,
2,36,58,"Spring - Rubber",002-036-058,,
2,36,59,"Anchor - Safety Stop",002-036-059,,
2,36,60,"Hardware, Mounting - Hood Hold Down Anchor",002-036-060,,
2,36,61,"Handle - Rubber",002-036-061,,
2,36,62,"Anchor - Hood Hold-Down",002-036-062,,
2,36,64,"Pin - Safety Stop",002-036-064,,
2,36,65,"Cotter Pin - Hold Down, Tilt Hood",002-036-065,,"updated by JP"
2,36,66,"Bushing - Cab Lock Rod",002-036-066,,
2,36,67,"Pin - Cab Lock Rod",002-036-067,,
2,36,68,"Rod - Release, Cab Lock",002-036-068,,
2,36,69,"Bracket - Cab Lock Rod",002-036-069,,
2,36,70,"Hook - Cab Lock",002-036-070,,
2,36,71,"Bracket - Cab Lock",002-036-071,,
2,36,72,"Jacket - Cab Lock",002-036-072,,
2,36,73,"Lock - Cab Tilt",002-036-073,,
2,36,74,"Support - Guide, Cab Lock Rod",002-036-074,,
2,36,76,"Rod Assembly - Cab Latch/Lock",002-036-076,,
2,36,77,"Torsion Bar Assembly",002-036-077,,
2,36,78,"Support - Cab Stop",002-036-078,,
2,36,79,"Support Assembly - Cab Pivot",002-036-079,,
2,36,80,"Hardware, Mounting - Cab Pivot Support Assembly",002-036-080,,
2,36,81,"Support - Pivot Frame",002-036-081,,
2,36,82,"Arm - Limiter, Cab Linkage",002-036-082,,
2,36,83,"Support - Limiter Arm",002-036-083,,
2,36,84,"Bushing - Cab Pivot",002-036-084,,
2,36,85,"Pad - Front Cab",002-036-085,,
2,36,86,Reinforcement,002-036-086,,
2,36,87,"Retaining Ring - Seat Frame, Cab Tilting Mechanism",002-036-087,,"updated by JP"
2,36,88,"Air Inlet Assembly",002-036-088,,
2,36,89,"Ball - Cab Tilt",002-036-089,,
2,36,90,"Motor - Air, Cab Tilt",002-036-090,,
2,36,91,"Valve - Cab Tilt Pump",002-036-091,,
2,36,92,"Fitting - Cab Tilt Pump",002-036-092,,
2,36,93,"Fitting - Cab Tilt Cylinder",002-036-093,,
2,36,94,"Strap, Solenoid - Tilt Pump",002-036-094,,
2,36,95,"Mounting Plate - Lock Release, Manual ",002-036-095,,"requested by freightliner"
2,36,96,"Button - Air, Tilt Pump",002-036-096,,
2,36,97,"O-Ring - Locking Mechanism",002-036-097,,
2,36,98,"Valve - Lift Limiting",002-036-098,,
2,36,99,"Piston & Rod - Tilt Cylinder",002-036-099,,
2,36,100,"End - Tilt Cylinder",002-036-100,,
2,36,101,"Piston - Tilt Pump",002-036-101,,
2,36,102,"Lever - Tilt Mechanism",002-036-102,,
2,36,103,"Wiring Harness - Electric Tilt Pump",002-036-103,,
2,36,104,"Housing - Cab Latch",002-036-104,,
2,36,105,"Clip - Air Inlet, Tilting Mechanism",002-036-105,,
2,36,106,"Screen - Inlet Adapter, Tilting Mechanism",002-036-106,,
2,36,107,"Seal - Base, Motor, Tilting Mechanism",002-036-107,,
2,36,108,"Housing - Piston Rod, Tilting Mechanism",002-036-108,,
2,36,109,"Bearing - Base, Motor, Tilting Mechanism",002-036-109,,
2,36,110,"Boot - Motor, Tilting Mechanism",002-036-110,,
2,36,111,"Reservoir - Tilting Mechanism",002-036-111,,
2,36,112,"Plunger - Tilting Mechanism",002-036-112,,
2,36,113,"Gland - Cylinder, Tilting Mechanism",002-036-113,,
2,36,114,"Spool - Pump, Tilt Mechanism",002-036-114,,
2,36,115,"Beam - Handle, Tilt Mechanism",002-036-115,,
2,36,116,"Adapter - Inlet, Tilting Mechanism",002-036-116,,
2,36,117,"Solenoid - Pump. Tilt Mechanism",002-036-117,,
2,36,118,"Pump - Cab Tilt, Electric",002-036-118,,
2,36,119,"Sensor - Cab Lock",002-036-119,,
2,36,120,"Plunger - Cab Lock",002-036-120,,
2,36,121,"Switch - Cab Lock",002-036-121,,
2,36,122,"Bracket - Latch, Cab Mount",002-036-122,,
2,36,123,"Fastener - Air Unit, Tilt Pump",002-036-123,,
2,36,124,"Seat Assembly - Tilt Mechanism, Outlet",002-036-124,,
2,36,125,"Clamp - Cab Tilt Stay",002-036-125,,"Requested by Freightliner JP "
2,36,126,"Clamp - Torsion Bar, Cab Tilt Mechanism",002-036-126,,"Requested by Freightliner JP "
2,36,127,"Plate - Latch, Cab Mount",002-036-127,,"Requested by Freightliner JP "
2,36,128,"Spring - Hook, Cab Lock",002-036-128,,"Requested by Freightliner JP "
2,36,129,"Bushing - Cab Latch",002-036-129,,"Requested by Freightliner JP "
2,36,130,"Hardware, Mounting - Linkage, Cab Latch",002-036-130,,"Requested by Freightliner JP "
2,36,131,"Bracket - Torsion Bar, Tilt Cab",002-036-131,,
2,36,132,"Handle - Cab Hold-Down Control",002-036-132,,
2,36,133,"Rod - Cab Hold-Down",002-036-133,,
2,36,134,"Hook - Cab Hold-Down",002-036-134,,
2,36,135,"Bracket - Cab Hold-Down",002-036-135,,
2,36,136,"Reinforcements - Cab Hold-Down",002-036-136,,
2,36,137,"Joint - Cab Hold-Down Rod",002-036-137,,
2,36,138,"Hinge - Cab",002-036-138,,
2,36,139,"Bushing - Cab Hinge",002-036-139,,
2,36,140,"Pin - Bushing, Cab Hinge",002-036-140,,
2,36,141,"Cable - Safety, Cab Hold-Down",002-036-141,,"Requested by Motor JP "
2,36,142,"Lever - Lock, Cab Tilt",002-036-142,,"Requested by Motor JP "
2,36,143,"Pump Lever and Selector Knob - Cab Tilt",002-036-143,,"Requested by Motor JP "
2,36,144,"Relay - Cab Tilt",002-036-144,,"Requested by Motor JP "
2,37,0,Seats,002-037-000,,"(Includes 002-027, 002-028, 002-029)"
2,37,1,"Repair Kit - Seat",002-037-001,Yes,"Obsolete - Use 002-027-181"
2,37,2,"Seat Assembly - Complete",002-037-002,,
2,37,3,"Seat Assembly",002-037-003,,
2,37,4,"Switch - Heated Seat",002-037-004,,
2,37,5,"Seat Assembly - Passenger, Rear",002-037-005,,
2,37,6,"Grommet - Thigh Extension",002-037-006,,
2,37,7,"Seat Assembly - Passenger, Front",002-037-007,,
2,37,8,"Seat - Auxiliary, Cab",002-037-008,,
2,37,9,"Bracket - Switch, Heated Seat",002-037-009,,"Requested by Freightliner JP "
2,37,10,"Cooling Unit - Seat, Climate Controlled",002-037-010,,"Requested by Motor JP "
2,37,11,"Module - Seat, Climate Control",002-037-011,,"Requested by Motor JP "
2,37,12,"Switch - Seat, Climate Control",002-037-012,,"Requested by Motor JP "
2,37,13,"Thermistor - Seat, Climate Control",002-037-013,,"Requested by Motor JP "
2,37,14,"Air Filter - Seat, Climate Controlled",002-037-014,,"Requested by Motor JP "
2,37,15,"Motor - Blower, Seat, Climate Controlled",002-037-015,,"Requested by Motor JP "
2,37,16,"Seat Assembly - Driver Side, Front ",002-037-016,,"Requested by TMT JP "
2,37,17,"Fan Assembly - Seat, Climate Controlled",002-037-017,,"Requested by Freightliner JP "
2,38,0,"Deflector - Non-Aerodynamic",002-038-000,,
2,38,1,"Deflector - Insect/Bug",002-038-001,,
2,39,0,"Cab Guard Assembly, Headache Rack ",002-039-000,,
2,39,1,"Guard - Cab, Frame Mounted (Headache Rack) ",002-039-001,,
2,39,2,"Hardware, Mounting - Frame Mounted Cab Guard",002-039-002,,
2,39,3,"Window - Cab Guard",002-039-003,,"Requested by Freightliner JP"
2,39,4,"Mounting Plate - Cab Guard",002-039-004,,"Requested by Freightliner JP"
2,39,5,"Weldment - Cab Guard",002-039-005,,"Requested by Elliott Equip JP "
2,39,6,"Box - Cab Guard/Headache Rack ",002-039-006,,"Requested by Maverick JP "
2,39,7,"Lid - Box, Cab Guard/Headache Rack ",002-039-007,,"Requested by Maverick JP "
2,39,8,"Grab Handle - Cab Guard (Headache Rack) ",002-039-008,,
2,40,0,"Cab Entry Assists",002-040-000,,
2,40,1,"Ladder - Assist, Cab Entry",002-040-001,,
2,40,2,"Step - Assist, Cab Entry (On Cab)",002-040-002,,
2,40,3,"Handle, Assist - Cab Entry ",002-040-003,,"(Formerly 002-023-008)"
2,40,4,"Insulator - Handle Assist",002-040-004,,
2,40,5,"Hardware, Mounting - Cab Entry Assist Ladder",002-040-005,,
2,40,6,"Gasket - Ladder",002-040-006,,
2,40,7,"Plate - Side Step",002-040-007,,
2,40,8,Step,002-040-008,,
2,40,10,"Spacer - Step",002-040-010,,
2,40,12,"Tee S Stanch - Grab Rail",002-040-012,,
2,40,13,"Assembly - Deployable Step",002-040-013,,
2,40,14,"Bracket -  Deployable Step",002-040-014,,
2,40,15,"Bearing - Deployable Step",002-040-015,,
2,40,16,"Motor - Deployable Step",002-040-016,,
2,40,17,"Pin - Deployable Step",002-040-017,,
2,40,18,"Swivel - Deployable Step",002-040-018,,
2,40,19,"Rod - Deployable Step",002-040-019,,
2,40,20,"Retainer - Deployable Step",002-040-020,,
2,40,21,"Hardware, Mounting - Deployable Step",002-040-021,,
2,40,22,"Frame Assembly - Deployable Step",002-040-022,,
2,40,23,"Cover - Deployable Step",002-040-023,,
2,40,24,"Step - Deployable Step",002-040-024,,
2,40,25,"Buzzer - Deployable Step",002-040-025,,
2,40,26,"Module, ECU - Deployable Step",002-040-026,,
2,40,27,"Sensor - Deployable Step",002-040-027,,
2,40,28,"Switch - Deployable Step",002-040-028,,
2,40,29,"Wiring - Deployable Step",002-040-029,,
2,40,30,"Software - Deployable Step",002-040-030,,
2,40,31,"Actuator - Deployable Step",002-040-031,,
2,40,32,"Relay - Deployable Step",002-040-032,,
2,40,33,"Beam - Deployable Step",002-040-033,,
2,40,34,"Slide - Deployable Step",002-040-034,,
2,40,35,"Clevis - Deployable Step",002-040-035,,
2,40,36,"Wiring Harness - Deployable Step",002-040-036,,
2,40,37,"Isolator - Deployable Step",002-040-037,,
2,40,38,"Plate - Deployable Step",002-040-038,,
2,40,39,"Panel - Deployable Step",002-040-039,,
2,40,40,"Retainer - Deployable Step",002-040-040,Yes,"Duplicate - Use 002-040-020"
2,40,41,"Stop - Deployable Step",002-040-041,,
2,40,42,"Support - Deployable Step",002-040-042,,
2,40,43,"Thermostat, Step - Side Heated",002-040-043,,
2,40,44,"Step, Door - Side Exit",002-040-044,,
2,40,45,"Hardware, Mounting - Step, Cab Entry Assist",002-040-045,,
2,40,46,"Storage - Deployable Step",002-040-046,,
2,40,47,"Bracket - Step, Cab Entry",002-040-047,,
2,40,48,"Insulator - Step, Cab Entry",002-040-048,,
2,40,49,"Reinforcement - Assist Handle, Cab Entry",002-040-049,,
2,40,50,"Gasket - Assist Handle, Cab Entry",002-040-050,,
2,40,51,"Bracket - Assist Handle, Cab Entry",002-040-051,,
2,40,52,"Shim - Front Slide, Deployable Step",002-040-052,,
2,40,53,"Panel - Side, Body Step",002-040-053,,
2,40,54,"Mud Flap - Deployable Step",002-040-054,,
2,40,55,"Spacer - Assist Handle, Cab Entry",002-040-055,,
2,40,56,"Kick Plate - Step, Cab Entry",002-040-056,,
2,40,57,"Insulation - Stepwell",002-040-057,,"Requested by Parts River JP"
2,40,58,"Reinforcement - Skirting, Stepwell",002-040-058,,"Requested by Parts River JP"
2,40,59,"O-Ring - Support, Deployable Step",002-040-059,,"Requested by Freightliner JP "
2,40,60,"Mat - Step, Cab Entry",002-040-060,,"Requested by Freightliner JP "
2,40,61,"Bracket - Kick Plate, Step, Cab Entry",002-040-061,,"Requested by Freightliner JP "
2,40,62,"Cap - Strap, Passenger Assist",002-040-062,,"Requested by Motor JP "
2,40,63,"Cap - Grip Handle",002-040-063,,"Requested by Motor JP "
2,41,0,"Guard - Overhead, Operator Protection",002-041-000,,
2,41,1,"Guard Assembly - Operator Protection",002-041-001,,
2,41,2,"Bracket - Roof, Operator Protection",002-041-002,,"Requested by Parts River JP"
2,41,3,"Frame - Operator Protection",002-041-003,,"Requested by Parts River JP"
2,41,4,"Lock - Handle, Operator Protection",002-041-004,,"Requested by Parts River JP"
2,41,5,"Shaft - Operator Protection",002-041-005,,"Requested by Parts River JP"
2,41,6,"Shock Absorber - Operator Protection",002-041-006,,"Requested by Parts River JP"
2,41,7,"Switch - Roof, Operator Protection",002-041-007,,"Requested by Parts River JP"
2,42,0,"Crosswalk (Deckplate) - Frame",002-042-000,,
2,42,1,"Plate - Deck",002-042-001,,
2,42,2,"Bracket - Deck Plate",002-042-002,,
2,42,3,"Bolt - Deck Plate",002-042-003,,
2,42,4,"Clip - Hold-Down, Deck Plate",002-042-004,,
2,42,5,"Washer - Diamond",002-042-005,,
2,42,6,"Lever Assembly - Deck Plate",002-042-006,,"updated by JP"
2,42,7,"Pad - Deck Plate",002-042-007,,
2,42,8,"Reinforcement - Deck Plate",002-042-008,,
2,42,9,"Guide - Deck Plate",002-042-009,,
2,42,10,"Gasket - Deck Plate",002-042-010,,
2,42,11,"Bushing - Rod, Deck Plate",002-042-011,,
2,42,12,"Latch - Hold-Down, Deck Plate",002-042-012,,"Requested by Freightliner JP"
2,42,13,"Spring - Deck Plate",002-042-013,,"Requested by Parts River JP"
2,42,14,"End Cap - Deck Plate",002-042-014,,"Requested by Freightliner JP "
2,44,0,Cab,002-044-000,,
2,44,1,"Cab Assembly - Complete",002-044-001,,
2,44,2,"Cab Assembly - Service Cab",002-044-002,,"Modified after discussions with SEFL to provide for a striped cab vs. a fitted cab"
2,44,3,"Sidewall - Cab",002-044-003,,
2,44,4,"Panel - Cab, Left",002-044-004,,
2,44,5,"Heat Shield - Cab",002-044-005,,
2,44,6,"Seal - Cab Panel",002-044-006,,
2,44,7,"Heat Shield - Recessed",002-044-007,,
2,44,8,"Strut - Cab, Heat Shield",002-044-008,,
2,44,9,"Grommet - Heat Shield",002-044-009,,
2,44,10,"Panel - Cab Front, Center",002-044-010,,
2,44,11,"Side Member - Cab",002-044-011,,
2,44,12,"Panel - Cab,  Right",002-044-012,,
2,44,13,"Filter - Cabin Air, Cab",002-044-013,,
2,44,14,"Wiring Harness - Cab",002-044-014,,"Requested by SEFL JP "
2,44,15,"Tag - Data Storage, Cab ",002-044-015,,"Requested by SEFL JP "
2,44,16,"Cover - Cabin Air Filter",002-044-016,,"Requested by Motor JP "
2,44,17,"Housing - Cabin Air Filter",002-044-017,,"Requested by Motor JP "
2,44,18,"Drain Valve - Housing, Cabin Air Filter",002-044-018,,"Requested by Motor JP "
2,44,19,"Trim - Exterior",002-044-019,,"Requested by PartsRiver JP "
2,45,0,"Insulator - Engine Noise",002-045-000,,
2,45,1,"Mounting Bracket - Engine Noise Insulator",002-045-001,,
2,45,2,"Retaining Spring - Hood Insulation",002-045-002,,
2,45,3,"Noise Shield - Engine",002-045-003,,
2,45,4,"Screen - Intake, Hood",002-045-004,,
2,45,5,"Bracket - Noise Shield, Engine",002-045-005,,"Requested by Freightliner JP"
2,46,0,"Side Door - Special Application",002-046-000,,
2,46,1,"Folding Door Assembly",002-046-001,,
2,46,2,"Roller Bracket Weld Assembly - Folding Door",002-046-002,,
2,46,3,"Door Stop - Overhead, Folding Door",002-046-003,,
2,46,4,"Bracket - Control, Lower",002-046-004,,
2,46,5,"Hinge - Fabric, Door",002-046-005,,
2,46,6,"Retainer - Rubber, Front, Upper",002-046-006,,
2,46,7,"Retainer - Rubber, Glass, Upper Forward",002-046-007,,
2,46,8,"Nosing - Rubber, Entrance Door",002-046-008,,
2,46,9,"Door Assembly - Forward",002-046-009,,
2,46,10,"Retainer - Rubber, Lower Glass",002-046-010,,
2,46,11,"Retainer - Canvas, Forward",002-046-011,,
2,46,12,"Hinge Assembly - Step, Center",002-046-012,,
2,46,13,"Retainer - Rubber, Entrance Door, Lower Forward",002-046-013,,
2,46,14,"Seal - Rubber, Door, Lower Aft",002-046-014,,
2,46,15,"Door Assembly - Aft",002-046-015,,
2,46,16,"Retainer - Rubber, Folding Door, Upper Forward",002-046-016,,
2,46,17,"Seal - Rubber, Door Upper",002-046-017,,
2,46,18,"Control Assembly - Door",002-046-018,,
2,46,19,"Housing Assembly - Door Warning Lamp Switch",002-046-019,,
2,46,20,"Switch - Door Warning Lamp",002-046-020,,
2,46,21,"Emergency Door Assembly - Side",002-046-021,,
2,46,22,"Barlock Assembly - Side Emergency Door",002-046-022,,
2,46,23,"Handle - Barlock, Side Emergency Door",002-046-023,,
2,46,24,"Cover - Lock, Side Emergency Door",002-046-024,,
2,46,25,"Kick Panel - Side Emergency Door",002-046-025,,
2,46,26,"Seal - Rubber, Side Emergency Door",002-046-026,,
2,46,27,"Frame Assembly - Upper",002-046-027,,
2,46,28,"Frame Assembly - Side Emergency Door, Lower",002-046-028,,"updated by JP"
2,46,29,"Panel - Outer Upper",002-046-029,,
2,46,30,"Panel - Outer Lower",002-046-030,,
2,46,31,"Spacer - Frame",002-046-031,,
2,46,32,"Panel - Inner Upper",002-046-032,,
2,46,33,"Panel - Inner Lower",002-046-033,,
2,46,34,S-Nut,002-046-034,,
2,46,35,"Support - Window",002-046-035,,
2,46,36,"Hinge - Door, Side, Special Application",002-046-036,,"updated by JP"
2,46,37,"Hardware, Mounting - Side Door Hinge, Special Application Body",002-046-037,,
2,46,38,"Hinge - Door, Middle",002-046-038,,
2,46,39,"Hardware, Mounting - Middle Door Hinge",002-046-039,,
2,46,40,"Plate - Latch",002-046-040,,
2,46,41,"Catch - Door, Lower",002-046-041,,
2,46,42,"Plug - Panel",002-046-042,,
2,46,43,"Seal - Door Latch",002-046-043,,
2,46,44,"Seal - Folding Door",002-046-044,,
2,46,45,"Seal - Side Door, Special Application",002-046-045,,"updated by JP"
2,46,46,"Seal - Half Bulb, Trim",002-046-046,,
2,46,48,"Seal - Rubber, View Window",002-046-048,,
2,46,49,"Strip - Filler, View Window",002-046-049,,
2,46,50,"Trim - View Window",002-046-050,,
2,46,51,"Angle - Door Pull",002-046-051,,
2,46,52,"Window Assembly - Sliding",002-046-052,,
2,46,53,"Seal - Window",002-046-053,,
2,46,54,"Strip - Locking Seal",002-046-054,,
2,46,55,"Latch - Door Hold-Down, Exterior",002-046-055,,
2,46,56,"Hook & Latch Assembly",002-046-056,,
2,46,57,"Hardware, Mounting - Hood & Latch Assembly",002-046-057,,
2,46,59,"Clip - Pullback Spring",002-046-059,,
2,46,60,"Cable - Pull Latch Release",002-046-060,,
2,46,61,"Bracket, Hose - Stand Off",002-046-061,,"req by Freightliner"
2,46,62,"Pin - Clevis, Folding Door Assembly",002-046-062,,
2,46,63,"Clamp - Cushioned Holder, Exterior",002-046-063,,
2,46,64,"Bracket - Door Holder, Exterior",002-046-064,,
2,46,65,"Stop -Slide",002-046-065,,
2,46,66,"Catch - Lock",002-046-066,,
2,46,67,"Post - Stationary Glass, Center",002-046-067,,
2,46,68,"Key - Corner",002-046-068,,
2,46,69,"Glazing - Vinyl, Center Post",002-046-069,,
2,46,70,"Bar - Rear",002-046-070,,
2,46,71,"Member - Sliding Glass Window, Lower",002-046-071,,
2,46,72,"Member - Center, Sliding Glass Window",002-046-072,,
2,46,73,"Rubber - Flocked, Sliding Glass Window",002-046-073,,
2,46,74,"Seal - Flocked, Sliding Glass Window",002-046-074,,
2,46,75,"Glazing - Vinyl, Sliding Glass Window",002-046-075,,
2,46,76,"Handle - Lock, Sliding Glass Window",002-046-076,,
2,46,77,"Hardware, Mounting - Sliding Glass Window Lock Handle",002-046-077,,
2,46,79,"Pouch - Bag",002-046-079,,
2,46,80,"Cover - Bag",002-046-080,,
2,46,82,"Damper - Multiple Lock",002-046-082,,
2,46,83,"Mounting Bracket - Left, Folding Door Assembly",002-046-083,,
2,46,84,"Mounting Bracket - Right, Folding Door Assembly",002-046-084,,
2,46,85,"Hardware, Mounting - Folding Door Assembly",002-046-085,,
2,46,86,"Bracket - Front, Center",002-046-086,,
2,46,87,"Molding - Trim",002-046-087,,
2,46,88,"Cover - Side Mount",002-046-088,,
2,46,91,"Hardware, Mounting - Forward Canvas Cover",002-046-091,,
2,46,94,"Emblem - Side Door, Special Applications",002-046-094,,
2,46,95,"Frame, Single Door - Wheelchair Lift",002-046-095,Yes,"Obsolete - use 174-014-003"
2,46,96,"Seal, Single Door - Wheelchair Lift",002-046-096,Yes,"Obsolete - use 174-014-005"
2,46,97,"Latch, Single Door - Wheelchair Lift",002-046-097,Yes,"Obsolete - use 174-014-009"
2,46,98,"Hinge, Single Door - Wheelchair Lift",002-046-098,Yes,"Obsolete - use 174-014-007"
2,46,100,"Frame, Double Door - Wheelchair Lift",002-046-100,Yes,"Obsolete - use 174-014-004"
2,46,101,"Seal, Double Door - Wheelchair Lift",002-046-101,Yes,"Obsolete - use 174-014-006"
2,46,102,"Latch, Double Door - Wheelchair Lift",002-046-102,Yes,"Obsolete - use 174-014-018"
2,46,103,"Hinge, Double Door - Wheelchair Lift",002-046-103,Yes,"Obsolete - use 174-014-017"
2,47,0,"Vent Assembly Components",002-047-000,,
2,47,1,"Vent Assembly",002-047-001,,
2,47,2,"Gasket - Vent Mounting",002-047-002,,
2,47,3,"Box - Vent Adapter",002-047-003,,
2,47,4,"Cover - Vent Trim",002-047-004,,
2,47,5,"Bezel - Ventilator",002-047-005,,
2,47,6,"Filter - Ventilator",002-047-006,,
2,47,7,"Grille - Ventilator",002-047-007,,
2,47,8,"Bracket - Vent Assembly",002-047-008,,
2,47,9,"Hardware, Mounting - Vent Assembly",002-047-009,,
2,47,10,"Molding - Drip, Vent",002-047-010,,
2,47,11,"Spring - Compression, Door Vent",002-047-011,,
2,47,12,"Roller - Rod, Vent, Cab/Sleeper",002-047-012,,
2,47,13,"Rod - Vent, Cab/Sleeper",002-047-013,,
2,47,14,"Knob - Vent, Cab/Sleeper",002-047-014,,
2,47,15,"Reinforcement - Strut, Sleeper Vent",002-047-015,,
2,47,16,"Bar - Hinge, Vent Door",002-047-016,,
2,48,0,"Upholstery Trim - Cab",002-048-000,,
2,48,1,"Cover - Header",002-048-001,,
2,48,2,"Cover - Firewall",002-048-002,,
2,48,3,"Cover - Firewall Recess",002-048-003,,
2,48,4,"Pad - Lower, Rear",002-048-004,,
2,48,5,"Pad - Corner, Right",002-048-005,,
2,48,6,"Pad - Corner, Left",002-048-006,,
2,48,7,"Pad - Roof Headliner",002-048-007,,
2,48,8,"Pad - Door, Left",002-048-008,,
2,48,9,"Pad - Door, Right",002-048-009,,
2,48,10,"Carpet - Floor",002-048-010,Yes,"Obsolete - use 002-013-008"
2,48,11,"Pan - Seat Base",002-048-011,,
2,48,13,"Mat - Rubber, Driver",002-048-013,Yes,"Obsolete - use 002-013-009"
2,48,14,"Mat - Rubber, Passenger",002-048-014,Yes,"Obsolete - use 002-013-010"
2,48,15,"Hardware, Mounting - Cab Upholstery Trim",002-048-015,,
2,48,16,"Sun Visor - Interior",002-048-016,Yes,"Obsolete - use 002-009-018"
2,48,17,"Clip - Sun Visor, Interior",002-048-017,Yes,"Obsolete - use 002-009-019"
2,48,18,"Cover - Sun Visor, Interior",002-048-018,Yes,"Obsolete - use 002-009-020"
2,48,19,"Plate - Header Cover",002-048-019,,
2,48,20,"Trim - A-Post",002-048-020,,
2,48,21,"Trim - Strip",002-048-021,,
2,48,22,"Support - Corner Trim Strip",002-048-022,,
2,48,23,"Hardware, Mounting - A-Post Trim",002-048-023,,
2,48,24,"Button - Upholstery",002-048-024,,
2,48,26,"Cover - Radio Opening",002-048-026,,
2,48,27,"Kick Panel",002-048-027,,
2,48,28,"Tray - Storage, Header",002-048-028,,
2,48,29,"Cover Assembly - Recess",002-048-029,,
2,48,30,"Foam - Firewall",002-048-030,,
2,48,31,"Door - Electrical Access",002-048-031,,
2,48,32,"Trim - Rear Window, Cab",002-048-032,,"updated by JP "
2,48,33,"Trim - Walk Thru",002-048-033,,
2,48,34,"Trim - Corner",002-048-034,,
2,48,35,"Trim - Threshold Carpet",002-048-035,,
2,48,36,"Cover - Sill",002-048-036,,
2,48,37,"Armrest - Cab Door",002-048-037,,
2,48,38,"Weather Strip - Door Sill",002-048-038,,
2,48,39,"Storage Pouch Assembly",002-048-039,,
2,48,40,"Grab Handle - Door, Inner",002-048-040,Yes,"Obsolete - use 002-023-061"
2,48,41,"Panel - Radio Speaker",002-048-041,,
2,48,42,"Cover - Speaker",002-048-042,,
2,48,44,"Cover - Carpet",002-048-044,,
2,48,45,"Console Assembly - Overhead",002-048-045,,
2,48,46,"Cover - CB Radio",002-048-046,,
2,48,47,"Cover - Radio",002-048-047,,
2,48,48,"Pad - Side",002-048-048,,
2,48,49,"Pad - Closet",002-048-049,,
2,48,50,"Bracket - Speaker",002-048-050,,
2,48,51,"Bracket - Speaker, Sleeper",002-048-051,,
2,48,52,"Pad - Back",002-048-052,,
2,48,53,"Tray Assembly - Sleeper",002-048-053,,
2,48,54,"Nameplate - Cab",002-048-054,,"updated by JP"
2,48,55,"Retainer - Nameplate",002-048-055,,
2,48,56,"Trim - Door Sill",002-048-056,,
2,48,57,"Mat - Baggage Compartment",002-048-057,,
2,48,58,"Insulation - Cab",002-048-058,,"updated by JP"
2,48,59,"Floor Mat",002-048-059,Yes,"Obsolete - use 002-013-011"
2,48,60,"Cover - Engine Tunnel",002-048-060,,
2,48,62,"Panel - Side",002-048-062,,
2,48,63,"Restraint - Sleeper Curtain",002-048-063,Yes,"Obsolete - use 002-050-687"
2,48,64,"Angle - Curtain Restraint",002-048-064,Yes,"Obsolete - use 002-050-688"
2,48,65,"Tongue - Curtain Restraint",002-048-065,Yes,"Obsolete - use 002-050-689"
2,48,66,"Exhaust - Recess Pad",002-048-066,,
2,48,67,"Pouch - Map",002-048-067,,
2,48,68,"Trim - Air Vent",002-048-068,,
2,48,69,"Trim - Door Post",002-048-069,,
2,48,70,"Support - Sun Visor, Interior",002-048-070,Yes,"Obsolete - use 002-009-021"
2,48,71,"Restraint - Sun Visor, Interior",002-048-071,Yes,"Obsolete - use 002-009-022"
2,48,72,"Upholstery Kit",002-048-072,,
2,48,73,"Pad - Side, Lower",002-048-073,,
2,48,74,"Pad, Safety - Front Or Entrance Door",002-048-074,,
2,48,75,"Pad - Side, Upper",002-048-075,,
2,48,76,"Pad - Back, Upper",002-048-076,,
2,48,77,"Pad - Roof, Cab, Front",002-048-077,,"updated by JP"
2,48,78,"Pad - Bulkhead, Center",002-048-078,,
2,48,79,"Pad - Bulkhead, Side",002-048-079,,
2,48,80,"Pad - Roof, Rear",002-048-080,,
2,48,81,"Pad - Header",002-048-081,,
2,48,82,"Pouch - Storage",002-048-082,,
2,48,83,"Emblem - Cab Upholstery Trim",002-048-083,,
2,48,84,"Fastener - Emblem",002-048-084,,
2,48,85,"Cover - Bunk",002-048-085,Yes,"Obsolete - use 002-050-690"
2,48,86,"Curtain - Privacy",002-048-086,Yes,"Obsolete - use 002-050-691"
2,48,87,"Curtain - Bunk",002-048-087,Yes,"Obsolete - use 002-050-692"
2,48,88,"Mounting Plate - Curtain Rod",002-048-088,Yes,"Obsolete - use 002-050-693"
2,48,89,"Plate - Tap, Curtain Mounting",002-048-089,Yes,"Obsolete - use 002-050-694"
