VMRSCode,"Long Description","Short Description ",Obsolete,Comments
CCMCX,"Cablecraft Motion Controls","Cablecraft Motion Controls",,
CBTRS,Cabot,Cabot,,
CBTSF,"CABOT SAFETY CORP.",,,
"CADAX ","CAD Audio","CAD Audio",,
CDLDV,"CADILLAC DIV., EVANS PRODUCTS CO.",,,
CADFB,"Cadillac Fabrication ","Cadillac Fabrication ",,
CDLLC,"Cadillac Motor Car Div. of General Motors Corp.",Cadillac,,
"CADNA ","Cadna Rubber Co","Cadna Rubber Co ",,
CAINS,Cains,Cains,,
CALTP,"Cal's Top Shop Inc","Cal's Top Shop ",,
CLHWK,"Cal-Hawk Tools","Cal-Hawk Tools",,
CALFT,"Cal-Lift Inc",Cal-Lift,,
CALVN,"Cal-Van Tools Inc","Cal-Van Tools",,
CALMP,CalAmp,CalAmp,,
CALVR,"CALAVAR CORPORATION",,,
CALAW,"Calaway Systems Inc","Calaway Systems",,
CALDM,"Calden Manufacturing",Calden,,"Requested by Parts River "
MALDN,"Calder Brothers Corporation ","Calder Brothers Corporation ",,
CLDRN,"Calderon Textiles Inc","Calderon Textiles",,
CALRO,"Calearo Antenne SPA","Calearo Antenne SPA",,
CLHUN,Calhoun,Calhoun,,
CALTR,"Calico Trailer Manufacturing","Calico Trailer Manufacturing",,
CALCV,"California Classic Vans","California Classic Vans",,
CALCP,"California Custom Products Inc","California Custom Products",,
CALDR,"California Drum and Rotor","California Drum and Rotor",,
CALDY,"California Dynamics Corp","California Dynamics Corp",,
CALIF,"California Pellet","California Pellet",,
CPUPU,"California Push-Pull Inc","California Push-Pull",,
CALSN,"California Scents","California Scents",,
CTOOL,"California Tool Co","California Tool Co",,
CALKN,"Calkins Trailers","Calkins Trailers",,"Requested by Paul Grandstrand, First Vehicle Services, 513-419-3254"
CLLHN,"CALLAHAN ENGINEERING CO.",,,
CLRST,Calorstat,Calorstat,,
CLPCX,"Calpac Automotive",Calpac,,
CALTE,"Calterm Electronics","Calterm Electronics",,
CALTS,"CalTest Instruments, Inc.",CalTest,,"12112 Greenstone AveSanta Fe Springs, Ca.90670"
CLTHR,"CALTHERM CORPORATON",,,
CALTD,"CalTrend Custom Seat Covers","CalTrend Custom Seat Covers",,
CALTX,"Caltronics LLC",Caltronics,,
CAVAL,"Calvary Industries Inc","Calvary Industries",,
CALWI,"Calwis Company Inc","Calwis Company Inc",,
CAMSP,"Cam Spray","Cam Spray",,
CAMSU,"CAM Superline, Inc","CAM Superline",,"4763 Zane A Miller DrWaynesboro, Pa 17268Requested by National Grid"
CAMXX,Cam2,Cam2,,
CAMIN,"Cambelt International Corp","Cambelt International Corp",,
CAMBR,"Cambria Automotive","Cambria Automotive",,
CASCW,"Cambridge Scale Works","Cambridge Scale Works",,
CAMCO,"Camco Manufacturing Inc",Camco,,"Requested by FedEx"
CAMEC,Cameco,Cameco,,
CAMEL,"Camel Brand - Plews/Edelmann","Camel Brand",,
CGWXX,"Camel Grinding Wheels","Camel Grinding Wheels",,
CAMFL,Camfil,Camfil,,
CMLLS,Camillus,Camillus,,
CAMSY,"Camlock Systems LTD","Camlock Systems",,
CAMMA,Camma,Camma,,
CAMOP,"Camoplast, Inc.",Camoplast,,
CMZLL,Camozel,Camozel,,
CAMGP,"Camozzi Group ","Camozzi Group ",,
CMPCH,"CAMPBELL CHAIN CO.",,,
CMPBL,"Campbell Fittings Inc","Campbell Fittings",,
CAMPB,"Campbell Hausfield","Campbell Hausfield",,"Requested by Parts River "
CAMPI,"Campbell Incorporated","Campbell Incorporated",,
CASCI,"Campbell Scientific Inc","Campbell Scientific",,
CAMBN,"Campbell-Brown Inc","Campbell-Brown Inc",,
CAMPW,"Camping World Inc","Camping World",,
CAMSO,"Camso Inc","Camso Inc",,
CANCR,Can-Car,Can-Car,,
CANFL,"Can-Flo Filters","Can-Flo Filters",,
CNDBL,"Canadian Blower","Canadian Blower",,
CNDCR,"CANADIAN CAR DIV., HAWKDER SIDDELEY LTD.",,,
CANCH,"Canadian Chains","Canadian Chains",,
CANCB,"Canadian Custom Cables Inc","Canadian Custom Cables Inc",,
CANEN,"Canadian Energy","Canadian Energy",,
CANEX,"Canadian Extreme Climate Systems LTD","Canadian Extreme Climate Systems",,
CNADN,"Canadian Filter","Canadian Filter",,
CATRP,"Canadian Tarpaulin Manufacturers Ltd","Canadian Tarpaulin Manufacturers",,
CANTR,"Canadian Tire","Canadian Tire",,
CANWL,"Canadian Wheel","Canadian Wheel",,
CANCD,"Cancade CBI Ltd","Cancade CBI Ltd",,
CANCI,"Cancore Industries Inc","Cancore Industries Inc",,
CANCP,"Candela Corp East","Candela Corp East",,
CANIN,"Canfield Industries Inc","Canfield Industries",,"8510 Foxwood CtYoungstown, Ohio "
CANGL,"Canglobal Products Ltd","Canglobal Products",,
CANHY,"Canimex Hydraulic Division ","Canimex Hydraulic Division ",,
CANOG,"Canoga Inc",Canoga,,"Requested by Orange County Fire Auth. "
CANQP,"Canquip Oilfield Corp ","Canquip Oilfield Corp ",,
CANTL,"CANtronick Limited","CANtronick Limited",,
CANRL,"Canyon Rigging & Livestock Supplies Inc","Canyon Rigging & Livestock",,
"CPOSY ","CAP Drain Plugs","CAP Drain Plugs",,
CPOSM,"CAP Oil Change Systems Inc","CAP Oil Change Systems",,
CAPIX,Cap-It,Cap-It,,
CPCTY,"CAPACITY, INC.",,,
CPTAR,"Capital Air","Capital Air",,
CPTGR,"Capital Gear ","Capital gear",,
CAPPW,"Capital Power","Capital Power",,
CAPSF,"Capital Safety Inc","Capital Safety Inc",,
CPTRB,"CAPITAL TRUCK BODIES",,,
CAPIT,"Capitol Clutch","Capitol Clutch",,
CAPDS,"Capitol Disposal LLC","Capitol Disposal",,
CAPMN,"Capitol Manufacturing","Capitol Manufacturing",,
CSIXX,"Caple-Shaw Industries Inc ","Caple-Shaw Industries Inc ",,
CAPRI,Capri,Capri,,
CPRCK,"Caprock Mfg",Caprock,,"Requested by Parts River "
CAPJS,"Caproni JSC","Caproni JSC",,
CAPST,Capstone,Capstone,,"Requested by Parts River "
CPTLM,"Captiol Machinery","Capitol Machinery",,
CRAID,"Car Aid","Car Aid",,
CCARE,"Car Care","Car Care",,
CARMT,"Car Mate Trailers","Car Mate Trailers",,
CARPR,"Car Pro - Servicios Condumex, S.A. de C.V.","Car Pro",,
CARFR,"Car-Freshner Corp","Car-Freshner Corp",,
CARMR,"CAR-MAR, INC.",,,
CARPK,"Car-Pak Mfg. Co. Inc.",Car-Pak,,
CVWSX,"Caravelle Manufacturing Corporation","Caravelle Manufacturing Corporation",,
CARBT,"Carbit Paint Company Inc.",Carbit,,"Requested by Fedex"
CARAB,"Carborundum Abrasives","Carborundum Abrasives",,
CARCO,"Carco Inc",Carco,,
CRDCN,"CARDINAL CONTROLS CO. INC.",,,
CRDNL,"CARDINAL PRODUCTS INC.",,,
CARSC,"Cardinal Scale ","Cardinal Scale ",,
CARDN,"Cardone Industries, Inc.",Cardone,,
CRDWL,"Cardwell Mfg","Cardwell Mfg",,
CCUSA,"Cargo Control USA","Cargo Control USA",,
CARGC,"Cargo Craft Inc","Cargo Craft",,
CARGO,"Cargo Equipment Corp","Cargo Equipment",,
CGMAT,"Cargo Mate div Forest River Inc","Cargo Mate",,
CRGSF,Cargo-Safe,Cargo-Safe,,
CRGMT,"CARGOMATIC DIV., TRI-DAIR INDUSTRIES","Cargomatic ",,
CARTH,Cargotec,Cargotec,,
CRGTR,CARGOTROL,,,
CAREI,"Carling Electric Inc","Carling Electric",,"Requested by Parts River "
CARBK,"Carlisle Brake & Friction Inc","Carlisle Brake & Friction ",,
CRLSL,"CARLISLE CORP.",,,"Replaces - MTNCN"
CAPWR,"Carlisle Power Transmission Products","Carlisle Power Transmission Products",,
CARLE,"Carlisle Tire","Carlisle Tire",,
CARGV,"Carlo Gavazzi Inc","Carlo Gavazzi Inc",,
CRLON,CARLON,,,
CARLR,"Carlor Engineering ","Carlor Engineering ",,
CRLSN,"Carlson Brake Products",Carlson,YES,"Obsolete - CARLX"
CARLX,"Carlson Brake Products","Carlson Brake",,
CRLBT,"Carlton Bates Co","Carlton Bates",,"Requested by Parts River "
CARCM,"Carlyle Compressor","Carlyle Compressor",,
CRMAH,Carmanah,Carmanah,,
CAMTE,"Carmate Trailers Inc","Carmate Trailers",,"Requested by Parts River "
CRMEC,Carmeco,Carmeco,,
CARLA,"Carol Automotive ","Carol Automotive",,
CRLCB,"CAROL CABLE CO., DIV. OF AVNET CORP.",,,
CARRU,"Carolina Custom Rubber Co","Carolina Custom Rubber",,"Requested by Parts River "
CAREP,"Carolina Extruded Plastic Inc","Carolina Extruded Plastic",,"Requested by Parts River "
"CGSCX ","Carolina Glove Company","Carolina Glove Company",,
CRLGR,"CAROLINA GRATING CO. INC.",,,
CARMH,"Carolina Material Handling","Carolina Material Handling",,
CAROL,"CAROLINA MILLS, INC.",,,
CLNAN,"Carolina North Mfg Inc","Carolina North Mfg Inc",,
CRLNA,"Carolina Truck and Body","Carolina Truck and Body",,
CARTI,"Carotron Inc","Carotron Inc",,
CAROS,"Carousel Industries of North America","Carousel Industries of North America",,
CRPNT,"CARPENTER BODY WORKS, INC.",,,
CRPTR,"Carpenter Group","Carpenter Group",,
CARQU,"CARQUEST CORP",,,
CARRX,"Carr Accessories",Carr,,
CARND,"Carrand Companies Inc","Carrand Companies",,
CARRO,Carraro,Carraro,,
CARRR,"CARRIER CORPORATION",,,
CARLN,"Carrlane Manufacturing",Carrlane,,
CRRLL,"CARROLL CO.",,,
CRTRE,"Carroll Tire Company ","Carroll Tire Company",,
CYRON,"Carry-On Trailers",Carry-On,,"Requested by Parts River "
CRRYM,CARRYMASTER,,,
CARSX,Cars,Cars,,
CRSVR,"Carsaver Pro","Carsaver Pro",,
CARTL,"Carson Trailer","Carson Trailer",,"14831 S Maple AveGardena, CA"
CARTR,"CARTER CARBURETOR DIV., ACF IND",,,
CCHEM,"Carter Chemicals and Services Inc","Carter Chemicals and Services",,
CARFS,"Carter Fuel Systems","Carter Fuel Systems",,
CRTNR,"Cartner Corp",Cartner,,
CRTRN,"CARTRAN MFG. LTD.",,,
CRTRO,Cartronics,Cartronics,,
CRTWR,CARTWRIGHT,,,
CARVI,"Carver Inc","Carver Inc",,
CRYPD,"Cary Products Co","Cary Products",,"Requested by Parts River "
CAFPD,"Casappa Fluid Power Design","Casappa Fluid Power Design",,
CASCD,"CASCADE CORPORATION",,,
CASPL,"Cascade Speciality Products","Cascade Speciality",,"Requested by FedEx"
CASCE,"Cascade Trailer","Cascade Trailer",,
CASCO,"CASCO PRODUCTS, DIV. SEQUA CORP.",,,
CASEX,"CASE, J. I. CO. (SUBS TENNECO)",,,
CNHXX,"Case New Holland","Case New Holland",,
CASPW,"CASE POWER & EQUIP LTD.",,,
CASLA,"Casella Waste Systems Inc","Casella Waste",,
CSHTR,"CASH TRAILERS, INC.",,,
CASHC,"Cashco Inc ",Cashco,,
CASIO,"Casio Inc",Casio,,
CASIT,Casite,Casite,,
CPINC,"Cast Products Inc ","Cast Products Inc ",,
CASTR,"Caster Concepts","Caster Concepts",,
CASTC,"Caster Connection Inc","Caster Connection",,
CSTLE,"Castle Products Inc","Castle Products",,
CASHD,"Castrol Heavy-Duty Lubricants, Inc.","Castrol Heavy-Duty",,
CSTRL,"Castrol North America",Castrol,,
CATPC,"Cat Pump Corp","Cat Pump",,
CATCL,CatClamp,CatClamp,,
CTRPL,"Caterpillar ","Caterpillar ",,
CTLOW,Catlow,Catlow,,
CATTR,"CATO TRAILER SERVICE CO., INC.",,,
CATOW,"Cato Western, Reptech Inc","Cato Western, Reptech Inc",,
CTEYE,"Cats Eye Tire Products","Cats Eye ",,
CUDLE,"Caudle Mrg","Caudle Mfg",,
CAVXX,CAV,CAV,,
"CBDST ","CB Distributing","CB Distributing",,
CBCAM,"CBC (America) Corp","CBE (America)",,
CBFXX,"CBF S R L","CBF S R L ",,
CBMXX,"CBM - Cars Bus Mans","CBM - Cars Bus Mans",,
CBSPT,"CBS Parts Ltd","CBS Parts Ltd",,
CCPAR,"CCC Parts Company","CCC Parts",,"Requested by Kirk NalionaLease"
CCECO,"Cceco LLC","Cceco LLC",,
CCITT,"CCI Thermal Technologies","CCI Thermal Technologies",YES,"Company sold - use THRHS "
"CCLSP ","CCL Security Products","CCL Security Products",,
CCPMN,"CCP MANUFACTURING CO.",,,
CCSLT,"CCS Lighting","CCS Lighting",,
CCTXX,"CCT Driveshaft","CCT Driveshaft",,
CDECD,"CDE  Cornell Dubilier ","CDE  Cornell Dubilier ",,
CDIXX,"CDI Control Devices","CDI Control Devices",,
CDIEL,"CDI Electronics Inc","CDI Electronics",,
CDIEN,"CDI Energy Products","CDI Energy Products",,
CDISE,"CDI Seals Inc","CDI Seals Inc",,
CDITP,"CDI Torque Products","CDI Torque Products",,
CDSJB,"CDS - John Blue Company ","CDS - John Blue Company ",,
CESPY,"CE Supply LLC","CE Supply",,
CECXX,CEC,,,
CEJNI,"CEJN Industrial Corporation ","CEJN Industrial Corporation ",,
CELBR,"Celect Braking ","Celect Braking",,
CELSY,"Celerity Systems ","Celerity Systems ",,
CELMC,"Cellucap Melco Mfg","Cellucap Melco Mfg",,
CELTX,"Celtex Industries ","Celtex Industries",,
CEMIN,"CEM Instruments","CEM Instruments",,
CEMTS,"Cement Test Equipment Inc","Cement Test Equipment Inc",,
CEMSO,"Cemso Inc",Cemso,,"Requested by Orange County Fire Auth. "
CENEL,"CEN Electronics","CEN Electronics",,
CENEX,Cenex,Cenex,,
CENCP,"Centa Corporation","Centa Corporation",,
CENTP,"Centa Power Transmission","Centa Power Transmission",,
CENTA,Centaur,Centaur,,
CNTBT,"Centennial Battery System","Centennial Battery",,"Requested by FedEx"
CNTNL,"CENTENNIAL (DUNLOP TIRE & RUBBER)",,,
CNTIN,"CENTENNIAL INDUSTRIES DIV., DOUGLAS & LOMASON",,,
CTRMG,"Center Mfg","Center Mfg",YES,"Obsolete - use MECIN "
CNTLX,"Center Tool","Center Tool",,
CNTCR,"Center-Line Curtain","Center-Line Curtain",,
CENTL,"Center-Line Trailers","Center-Line Trailers",,"Cedar Hill, Texas"
CTRLN,"Centerline Wheel",Centerline,,
CENAW,"Central Automotive Warehouse","Central Automotive Warehouse",,
CNTFT,"Central Freight Lines Inc","Central Freight",,
CMEXX,"Central Mine Equipment","Central Mine Equipment",,
CPSAS,"Central Power Systems and Services","Central Power Sys",,
CNSRV,"Central Service & Supply","Central Service",,
CSBUS,"Central States Bus Sales Inc","Central States Bus Sales",,"Requested by Parts River "
CNTTL,"Central Tools Inc.","Central Tool",,"Requested by FedEx"
CNTTC,"CENTRAL TRUCK BODY CO., LTD.",,,
CENTR,CENTRAMATIC,,,"5345 SOUTH I-35WALVARADO, TEXAS 76009"
CTRTG,"CENTREVILLE TAG-A-LONG TRAILERS INC.",,,
CNTRC,"Centric Parts ","Centric Parts",,
CNTFS,Centrifuse,Centrifuse,,
CNTRX,"Centrix International Electric",Centrix,,
CENBT,"Century Batteries","Century Batteries",,
CENBR,"Century Brake","Century Brake",,
CNTRY,"Century div of Miller Industries Towing Co",Century,,
CETLE,"Century Tool & Equipment","Century Tool & Equipment",,
CNTYV,"Century Valve","Century Valve",,
CENTV,CenturyVallen,CenturyVallen,,
CEQPE,"Cequent Performance Products","Cequent Performance Products",,
CEQNT,"Cequent Trailer Products","Cequent Trailer Products",,
CERDI,"Cerlist Diesel","Cerlist Diesel",,
CERMT,Ceromet,Ceromet,,
CERTX,"Certex USA","Certex USA",,
CRTFD,"CERTIFIED,BUTLER MFG. CO.",,,
CERTL,"Certified Laboratories","Certified Laboratories",,"Requested by Gordon Trucking"
CRPWR,"Certified Power","Certified Power",,
CRTSF,"Certified Safety, Mfg","Certified Safety",,"1400 ChestnutKansas City, MissouriRequested by NationaLease"
CRTSL,"Certified Slings and Supply Inc","Certified Slings and Supply Inc",,
CRWRT,"Certified Wire Rope & Testing Inc","Certified Wire Rope & Testing Inc",,
OSTLR,"CertiFit - Ostler International Inc","CertiFit ",,
CERVS,"Cervis Inc","Cervis Inc",,
CSSNA,Cessna,Cessna,,
CETXX,CET,CET,,
CEWXX,"CEW Filters","CEW Filters",,
CFGOM,"CF Gomma","CF Gomma",,
CFCAC,"CFC Air Conditioning","CFC Air Conditioning",,
CGJXX,"CG&J, Inc.",CG&J,,
CGRPR,"CGR PRODUCTS",,,
CHNQU,"Chain Quest Corp","Chain Quest",,
CMBLT,Chainbelt,Chainbelt,,
CHLKP,"Chalks Truck Parts Inc","Chalks Truck Parts ",,
CHLEL,"Challenge Electronics","Challenge Electronics",,
CHLCK,"CHALLENGE-COOK BROS., INC.",,,
CHLLN,CHALLENGER,,,
CHLNG,"CHALLENGER ARCTIC TRAVLR DIV., TRANE",,,
CHALG,"Challenger Lifts","Challenger Lifts",,
CHLSS,"CHALMERS SUSPENSIONS, INT'L, LTD.",,,
CHMCL,"CHAM-CAL Engineering Co ",,,"12722 Western AveGarden Grove, Ca. 92841"
CHMBN,"Chamberlain Inc","Chamberlain Inc",,
CHMTR,"CHAMBERLIN TRAILERS",,,
CHMBR,Chambers,Chambers,,
CHSEA,"Champ Seals LLC","Champ Seals LLC",,
CHMPS,"CHAMP SERVICE LINE DIV., STD. MOTOR PRODUCTS INC.",,,
CHBRN,"Champion Brands LLC","Champion Brands LLC",,
CHAMB,"Champion Bus Company","Champion Bus Company",,
CHMPN,"CHAMPION CARRIERS INC.",,,
CHMCO,"CHAMPION CO.,THE",,,
CHMPC,"CHAMPION COATINGS",,,
CHAMP,"Champion Corporation","Champion Corporation",,
CHATL,"Champion Cutting Tools","Champion Cutting Tools",,
CHMEN,"Champion Energy","Champion Energy",,
CHMPG,"Champion Grader","Champion Grader",,
CHMHM,"CHAMPION HOME BUILDERS CO.",,,
CHIND,"Champion Industries Inc","Champion Industries",,"Requested by Parts River "
CHMPF,"Champion Laboratories Inc","Champion Laboratories",,
CHMPT,"Champion Parts Inc","Champion Parts",,"Requested by FedEx"
CHMRD,"Champion Radiators","Champion Radiators",,
CHAMR,"Champion Rebuilders","Champion Rebuilders",,
CHMSP,"CHAMPION SPARK PLUG, DIV. COOPER INDUSTRIES",,,
CHPTR,"Champion Tow Ropes","Champion Tow Ropes",,
CHANC,"Chance Rides Manufacturing, Inc.",Chance,,
CHSTL,"Chandan Steel Limited","Chandan Steel Limited",,
CHDLR,"Chandler Brands LLC","Chandler Brands LLC",,
CHANI,"Chaney Instrument","Chaney Instrument",,
DFAMX,"Changzhou Dongfeng Agricultural Machinery Group Co","Changzhou Dongfeng",,
CHNNL,"CHANNEL LOCK INC.",,,
CPMFI,"Chaparral Manufacturing Inc",Chaparral,,"Requested by TMW System"
CHAPI,"Chapin International Inc ","Chapin International Inc ",,
CHRLN,Char-Lynn,Char-Lynn,,
CHRDN,"Chardon Rubber Co","Chardon Rubber",YES,"Obsolete - use CRBCO"
CRBCO,"Chardon Rubber Co Inc","Chardon Rubber",,"Replaces - CHRDN"
CHRGT,Chargetek,Chargetek,,
CHARG,"Chargette Refrigerant","Chargette Refrigerant",,
CPAFC,"Charlotte Pipe and Foundry Company","Charlotte Pipe and Foundry ",,
CHARH,"Charlton & Hill","Charlton & Hill",,
CHART,"Chart Industries","Chart Industries",,
CHRTR,"Charter V-Belts","Charter V-Belts",,
CHSKN,"Chassis King","Chassis King",,"Requested by National Grid"
CHAUS,"Chausse Distributor","Chausse Distributor",,
CKALV,"CHECK-ALL VALVE MFG. CO.",,,
CHCKR,"CHECKER MOTORS CORP.",,,
CHSFP,"Checkers Industrial Safety Products","Checkers Industrial Safety Products",,
CKFLD,"Checkfluid Inc","Checkfluid Inc",,
CHCKP,Checkpoint,Checkpoint,,
CHETA,"Cheetah Chassis Corp","Cheetah Chassis",,
CHELS,"Chelsea Products",Chelsea,,"Requested by SEFL"
CHEMP,"Chem Oil Products","Chem Oil Products",,
CHPKS,"Chem Pak Solutions Inc","Chem Pak Solutions",,
CEMSP,"Chem Spec","Chem Spec",,
CHMTN,Chem-Tainer,Chem-Tainer,,
CHEMW,"Chem-Wipe Industries","Chem-Wipe Industries ",,
CEMCO,"Chemco Inc",Chemco,,
CHMFX,Chemfax,Chemfax,,
CMGRT,Chemgrout,Chemgrout,,
CMSTR,"ChemStar Mechanical Packing Inc",ChemStar,,
CHEMS,Chemstation,Chemstation,,
CHMTX,Chemtex,Chemtex,,
CHEMT,"Chemtool Inc","Chemtool Inc",,
CHERN,"Cherne Stringer","Cherne Stringer",,"Requested by Parts River "
CHRRY,"Cherry Aerospace","Cherry Aerospace",,
CRWXX,"Chesapeake Rim and Wheel Inc","Chesapeake Rim and Wheel",,
CHVRL,"Chevrolet Motor Div. of General Motors Corp.",Chevrolet,,
CHVRN,"CHEVRON USA INC.",,,
CHMLP,"Chicage Miniature Lampworks","Chicago Miniature Lampworks",,
CHIAR,"Chicago Aerosol ","Chicago Aerosol",,
CHELE,"Chicago Electric","Chicago Electric",,
CHCGH,"CHICAGO HARDWARE & FIXTURE CO.",,,
CHCGN,"CHICAGO PNEUMATIC TOOL CO.",,,
CHCRW,"CHICAGO RAWHIDE MFG. CO.",,,"  USE THE CODE 'SKFIN' CHICAGO RAWHIDE IS NOW PART OF SKF. "
CHCTB,"CHICAGO TUBE & IRON CO.",,,
CHALS,Chicago-Allis,Chicago-Allis,,
CHIEF,Chief,Chief,,
CHEFT,"Chief Technology ","Chief Technology ",,
CHILD,"Child-Check Mate Systems Inc","Child-Check Mate Systems",,
CHLTR,"CHILDS TRUCK BODIES",,,
CMCOI,"Chillicothe Metal Co Inc","Chillicothe Metal Co Inc",,
CHILT,Chilton,Chilton,,
CNHTC,"China National Heavy Duty Truck Group Co. LTD","China National Heavy Duty Truck Group",,
CHNDA,"Chinada Brake Parts","Chinada Brake Parts",,
CHNOR,"Chinook O-Rings","Chinook O-Rings",,
CHIPE,Chipmore,Chipmore,,
CHPSY,"Chloride Power Systems and Solutions Limited ","Chloride Power Systems and Solutions Limited ",,
CHTAW,Choctaw,Choctaw,,
CHOKO,"Choko Authentic Apparel","Choko Authentic Apparel",,
CHORE,"Chore Master","Chore Master",,
CHAFT,Chris-Craft,Chris-Craft,,
CHRIS,"Chrisman & Associates","Chrisman & Associates",,
CHREL,"Christie Electric Corp.","Christie Electric",,"Requested by FedEx"
CHRMX,Chromalox,Chromalox,,
CHROM,"Chrome Country","Chrome Country",,
CRMCR,"Chrome Craft","Chrome Craft",,
CHRIA,"Chromiance Corp","Chromiance Corp",,
CHRTL,"Chronkhite Trailer","Chronkhite Trailer",,
CHYCN,"Chrysler Canada Inc","Chrysler Canada Inc",,
CHRMR,"CHRYSLER CORP MARINE/INDUSTRIAL DIV",,,
CHRYS,"Chrysler -Plymouth",Chrysler-Plymouth,,"Replaces - IMPRL"
CHUHG,"Chu Hung Oil Seals Industrial Co Ltd","Chu Hung Oil Seals Industrial Co Ltd",,
CHUBB,"Chubb Detroit","Chubb Detroit",,
CIBIE,CIBIE,CIBIE,,
CIMTK,Cim-Tek,Cim-Tek,,
CIMCG,"Cimc Group","Cimc Group",,
CMPGX,"Cimline Pavement Maintenance Group","Cimline Pavement Maintenance Group",,
CINCH,"Cinch Connectivity Solutions","Cinch Connectivity Solutions",,
CINCP,"Cincinnati Caliper","Cincinnati Caliper",,
CINCY,"Cincinnati Radiator Inc","Cincinnati Radiator Inc",,
CINTB,"Cintube LTD",Cintube,,
CIPAX,Cipa-USA,Cipa-USA,,
CIRSL,"Circle Seal Controls, a Brunswick Co","Circle Seal Controls",,
CIRVL,"Circle Valve Technologies Inc","Circle Valve Technologies",,
CIRGY,"Circor Energy","Circor Energy",,
CIRTE,"Circuit-Test Electronics","Circuit-Test Electronics",,
CIRTQ,"Cirteq Limited",Cirteq,,
CSINC,"Cisco-Eagle Inc",Cisco-Eagle,,
CITGR,"CIT Group Inc","CIT Group Inc",,
CITAT,"Citation Inc",Citation,,
CITGO,"Citgo Petroleum Corp",Citgo,,"PO box 4689Houston, Tx"
CITRN,Citroen,Citroen,,
CTSPR,"City Spring Ltd","City Spring Ltd",,
CITYT,"City Trailer Mfg Inc","City Trailer",,
CITTR,"City Truck & Trailer Parts","City Truck & Trailer Parts",,
CITYX,"CITY WELDING & MFG. CO.",,,
CTWRD,"City Wide Radiators ","City Wide Radiators ",,
CVACN,Civacon,Civacon,,
CJWRC,"CJ Wire & Cable","CJ Wire & Cable",,
CKTEC,"CK Technologies","CK Technologies",,
CKWWX,"CK Worldwide Inc","CK Worldwide Inc",,
CLAVL,"Cla-Val Valve",Cla-Val,,
CLAAS,"Claas of America LLC","Claas of America",,
CLPRI,"Clampco Products Inc",Clampco,,"Requested by TMW System"
CLAMP,"Clamps, Inc.","Clamps, Inc.",,"Requested by Don McGrew, PartsRiver"
CLARN,"Clarion Corp",Clarion,,
CLROS,Clarios,Clarios,,
CLRKB,"CLARK BROTHERS INSTRUMENT CO.",,,
CLARK,"CLARK EQUIPMENT CO.",,,
CLRKF,"Clark Filter - Clarcor","Clark Filter",,
CLRKS,"Clark Seals LTD","Clark Seals",,
CLSEP,"Clark Security Products","Clark Security Products",,
CLRTR,"CLARK TRAILER SERVICE, INC.",,,
CLRKD,"CLARKE DIV., MCGRAW-EDISON CO.",,,
CLKPP,"Clarke International","Clarke International",,
CLRKE,"Clarkson Auto Electric and Carburetor","Clarkson Auto Electric and Carburetor",,
CLRTL,"Clarkson Osborne Tools Ltd","Clarkson Osborne Tools Ltd",,
CLSSO,"Class 1 a Unit of Idex Corporation","Class 1",,
CLCSL,"Class C Solutions","Class C Solutions",,
CLFRP,"Classic Fire Protection Inc","Classic Fire Protection",,
CLASS,"Classic Industries","Classic Industries",,
CLBLM,"Clay and Bailey Manufacturing","Clay and Bailey Manufacturing",,
CLYTN,"CLAYTON MANUFACTURING CO.",,,
CLAZC,Clazzico.com,Clazzico.com,,
CLBRN,"Clean Burn Inc","Clean Burn ",,
CDTIX,"Clean Diesel Technologies Inc","Clean Diesel Technologies Inc",,
CLEAN,"Clean Inc",Clean,,
CLSLI,"Clean Seal Inc","Clean Seal Inc",,
"CLNTL ","Clean Tools Inc","Clean Tools Inc",,
CFUSA,"CleanFuel USA","CleanFuel USA",,
CLEAR,"CLEAR CORPORATION",,,
CLFLV,"Clearflow Valves Inc","Clearflow Valves",,
CLRNG,"Clearing ",Clearing,,
CLTEC,"Clearlamp Techniques","Clearlamp Techniques",,
CLEAP,"Clearplus USA","Clearplus USA",,
CLSHD,"Clearshield Washer Fluid","Clearshield Washer Fluid",,
CLRSF,"Clearview Safety","Clearview Safety",,"Requested by Parts River "
CLCON,"Cleasby Conveyors, Inc","Cleasby Conveyors",,"362 South MainClearfield, UT. 84015Requested by Kirk NationaLease"
CLMCO,Clemco,Clemco,,
CLEND,"Clement Industries, Inc","Clement industries",,"P O Box 914 Minden, La. 71058Requested by Cetaris"
CLNAR,"ClenAir Manufacturing Inc","ClenAir Manufacturing Inc",,
CBIXX,"Clendenin Brothers Inc ","Clendenin Brothers Inc ",,
CLSCO,"Clesco Manufacturing",Clesco,,"Requested by FedEx"
CLVGR,"Cleveland Gear","Cleveland Gear",,
CLVHF,"Cleveland Hardware and Forging Co","Cleveland Hardware and Forging",,
CICOX,"Cleveland Ignition Company","Cleveland Ignition Company",,
CLVLN,"CLEVELAND STEEL PRODUCTS CORP.",,,
CLETK,"Cleveland Tank Co","Cleveland Tank",,
CLVTW,"CLEVELAND TWIST DRILL CANADA LTD.",,,
CLVTE,"Clevite Engine Parts","Clevite Engine Parts",,"Supercedes A.E. Clevite code, which is now obsolete for all new Clevite parts."
CLFWH,"CLF Warehouse","CLF Warehouse",,
CLFSF,"Cliff's Fire Extinguisher ","Cliff's Fire Extinguisher ",,
CLIFF,"Clifford Alarms",Clifford,,
